key	EN	DE
ui_p7_293	Labor	Arbeit
ui_p7_294	There are no empty travel schedules yet	Es gibt noch keine Leerfahrtenpläne
ui_p7_295	Upload a CSV file or enter values ​​manually to populate the table.	Laden Sie eine CSV-Datei hoch oder geben Sie Werte manuell ein, um die Tabelle zu füllen.
ui_p7_300	Empty - Month of January 2026	Leer - Monat Januar 2026
ui_p7_301	add	
ui_p7_302	cloud_upload	
ui_p7_303	Upload files to create your new Empty Trip Matrix	Dateien hochladen, um Ihre neue Leerfahrten-Matrix zu erstellen
ui_p7_305	Supported csv format	Unterstütztes CSV-Format
ui_p7_306	1 - 6 of 6	1 - 6 von 6
ui_p7_307	Results: 6	Ergebnisse: 6
ui_p7_308	SOUTH TERMINAL	SÜDTERMINAL
ui_p7_309	New Relationship	Neue Beziehung
ui_p7_315	delete	
ui_p8_322	Min. Sale	Min. Verkauf
ui_p8_323	info	
ui_p8_324	Estimated range (km)	Geschätzte Reichweite (km)
ui_p8_325	Minimum Seats Sale	Mindestsitzplatzverkauf
ui_p8_326	Vehicle Type Name	Fahrzeugtypsname
ui_p8_327	Non-electric	Nicht elektrisch
ui_p8_330	1 - 1 of 1	1 - 1 von 1
ui_p8_331	67f635d5-d123-4cde-ab20-646e260b353e	
ui_p8_332	Look for	Suchen nach
ui_p8_334	minibus	Minibus
ui_p8_335	Results: 1	Ergebnisse: 1
ui_p8_337	Standard Electric	Standard Elektrisch
ui_p8_338	Standard-Diesel	Standard-Diesel
ui_p8_339	search	
ui_p9_340	Adjust day range	Tagesbereich anpassen
ui_p9_341	Load Time Set	Zeitplan laden
ui_p9_342	Filter Timeset	Zeitplan filtern
ui_p9_343	L1 - 1	L1 - 1
ui_p9_344	L1 - 1,L1 - 2	L1 - 1, L1 - 2
ui_p9_345	L1 - 2	L1 - 2
ui_p9_346	L1 Workable Base	L1 Arbeitsbasis
ui_p9_347	Labor	Arbeit
ui_p9_348	New Set of Schedules	Neuer Satz von Zeitplänen
ui_p9_349	Hide Schedule Set Cards	Zeitplan-Karten ausblenden
ui_p9_350	Travel time	Fahrzeit
ui_p9_351	chronic	
ui_p9_352	departure_board	
ui_p9_353	filter_list	
ui_p9_354	more_time	
ui_p9_355	unfold_less	
ui_p9_356	visibility_off	
ui_p9_357	Last update: 04/13/2026	Letzte Aktualisierung: 13.04.2026
ui_p9_361	SOUTH TERMINAL - NORTH TERMINAL	SÜDTERMINAL - NORDTERMINAL
ui_p9_362	Optimum	Optimal
ui_p9_363	Travel and stop times	Fahr- und Haltezeiten
ui_p9_364	unfold_more	
ui_p10_366	State	Status
ui_p10_372	Standard Business Day - L1	Standard-Arbeitstag - L1
ui_p10_373	Earring	Pendelnd (Earring typo likely means Pending/Pendiente)
ui_p10_374	81 Trips	81 Fahrten
ui_p10_375	Consultant started editing the Roster Cell at 01:17	
ui_p10_376	Rule out	Ausschließen
ui_p10_377	Interval	Intervall
ui_p10_379	T001	
ui_p10_380	T003	
ui_p10_381	T005	
ui_p10_382	T007	
ui_p10_383	T009	
ui_p10_384	T011	
ui_p10_385	T013	
ui_p10_386	T015	
ui_p10_387	T017	
ui_p10_388	T019	
ui_p10_389	T021	
ui_p10_390	T023	
ui_p10_391	T025	
ui_p10_392	T027	
ui_p10_393	T029	
ui_p10_394	T031	
ui_p10_395	T033	
ui_p10_396	T035	
ui_p10_397	T037	
ui_p10_398	T039	
ui_p10_399	T041	
ui_p10_400	T043	
ui_p10_401	T045	
ui_p10_402	T047	
ui_p10_403	T049	
ui_p10_404	T051	
ui_p10_405	T053	
ui_p10_406	T055	
ui_p10_407	T057	
ui_p10_408	T059	
ui_p10_409	T061	
ui_p10_410	Total time	Gesamtzeit
ui_p10_411	bar_chart	
ui_p10_412	library_add	
ui_p10_413	redo	
ui_p10_414	running_with_errors	
ui_p10_415	select_all	
ui_p10_416	undo	
ui_p10_418	straighten	
ui_p10_421	Eliminate	Eliminieren
ui_p10_424	check_circle	
ui_p10_426	0 Trips	0 Fahrten
ui_p10_427	Select Trip Times	Fahrzeiten auswählen
ui_p12_429	Model Vehicle Type Rules	Modell der Fahrzeugtypregeln
ui_p12_433	Rules have not been created yet	Es wurden noch keine Regeln erstellt
ui_p13_437	Create Shift Rule	Dienstregel erstellen
ui_p13_440	Rules model Line 1	Regelmodell Linie 1
ui_p13_442	There are no rules to show.	Es gibt keine Regeln zum Anzeigen.
ui_p13_444	Try adjusting the filters or create a new rule.	Versuchen Sie, die Filter anzupassen oder eine neue Regel zu erstellen.
ui_p13_446	stat_minus_1	
ui_p13_449	No models created yet	Noch keine Modelle erstellt
ui_p13_451	Select a model to see the associated rules.	Wählen Sie ein Modell aus, um die zugehörigen Regeln zu sehen.
ui_p13_456	end time	Endzeit
ui_p13_458	Idle	Leerlauf
ui_p13_459	Start and end of the day	Start und Ende des Tages
ui_p13_460	ending place	Endort
ui_p13_461	End place different from initial	Endort unterscheidet sich vom Startort
ui_p13_462	Starting and ending places	Start- und Endorte
ui_p13_463	Keep the same as the starting location	Gleich wie am Startort halten
ui_p13_464	final stop	Endhaltestelle
ui_p13_466	Penalty for place of ending different from the initial one	Strafe für Endort, der vom Startort abweicht
ui_p13_468	End of day time	Tagesendzeit
ui_p13_469	Start time of day	Tagesstartzeit
ui_p13_470	Shift type(s)	Diensttyp(en)
ui_p13_471	Morning Shifts	Frühschichten
ui_p13_472	Worth	Wert
ui_p13_473	hh: mm	hh:mm
ui_p13_475	(Global) Solution limits and preferences	(Global) Lösungsgrenzwerte und Präferenzen
ui_p13_476	Total Changes in the Solution	Gesamtänderungen in der Lösung
ui_p13_477	Line changes	Linienwechsel
ui_p13_478	Vehicle changes	Fahrzeugwechsel
ui_p13_480	Global Solution Limits and Preferences	Globale Lösungsgrenzwerte und Präferenzen
ui_p13_482	Normal Day	Normaler Tag
ui_p13_483	Partial	Teilweise
ui_p13_485	Overall working time	Gesamtarbeitszeit
ui_p13_486	Average working time	Durchschnittliche Arbeitszeit
ui_p13_487	All shifts	Alle Schichten
ui_p13_488	Job	Arbeit
ui_p13_489	Night Shift	Nachtschicht
ui_p13_490	Afternoon Shift	Spätschicht
ui_p13_491	Last update: 04/14/2026	Letzte Aktualisierung: 14.04.2026
ui_p14_492	Planning scenarios	Planungsszenarien
ui_p14_493	Associated lines	Verknüpfte Linien
ui_p14_494	New scenario	Neues Szenario
ui_p14_495	stacks	
ui_p14_496	Vehicles Only	Nur Fahrzeuge
ui_p14_497	Driver displacement	Fahrerbewegung
ui_p14_499	Vehicle Type Rules Model (optional)	Modell der Fahrzeugtypregeln (optional)
ui_p14_501	Vehicle Type Rules Model 2026	Modell der Fahrzeugtypregeln 2026
ui_p14_502	Classic Calculus - Line 1 Week 1 2026	Klassische Berechnung - Linie 1 Woche 1 2026
ui_p14_503	Pending Solution	Ausstehende Lösung
ui_p14_504	3.1x (24h)	3,1x (24h)
ui_p14_505	Make sure the	Stellen Sie sicher, dass
ui_p14_506	There is still no solution	Es gibt noch keine Lösung
ui_p14_507	Com. thrips	Komm. Fahrten
ui_p14_515	KPIs still cannot be loaded	KPIs können noch nicht geladen werden
ui_p14_517	arrow_drop_down	
ui_p14_518	cancel_presentation	
ui_p14_519	calculation engine configuration	Konfiguration der Berechnungsmaschine
ui_p14_520	directions_bus	
ui_p14_521	exit_to_app	
ui_p14_522	extension	
ui_p14_523	groups	
ui_p14_524	keyboard_arrow_left	
ui_p14_525	keyboard_arrow_right	
ui_p14_526	line_axis	
ui_p14_527	mode_of_travel	
ui_p14_528	monitor_heart	
ui_p14_529	play_arrow	
ui_p14_530	remove	
ui_p14_531	rule_settings	
ui_p14_532	is correct and starts the calculation to obtain a solution.	ist korrekt und startet die Berechnung, um eine Lösung zu erhalten.
ui_p14_533	smart_display	
ui_p14_534	tv_options_input_settings	
ui_p14_535	video_settings	
ui_p14_536	visibility	
ui_p14_537	Programming flexibility for the First Solution (GoalBus Classic)	Programmierflexibilität für die erste Lösung (GoalBus Classic)
ui_p14_538	GoalBusClassic	GoalBusClassic
ui_p14_539	Calculation engine	Berechnungsmaschine
ui_p14_540	Maximum calculation time	Maximale Berechnungszeit
ui_p15_541	1 - 14 of 14	1 - 14 von 14
ui_p15_543	Training Calculation Line 1 V2	Schulungsberechnung Linie 1 V2
ui_p15_544	Complete training calculation Onibus + Motorists	Vollständige Schulungsberechnung Busse + Fahrer
ui_p15_545	E698	
ui_p15_548	Teste Scenario 1 onibus + RGC motorcyclists	
ui_p15_549	Fatima Poa	
ui_p15_550	Ge-Poa	
ui_p15_551	L1 V2	
ui_p15_552	Line Transcal E698	
ui_p15_553	Linha Transcal E698 Onibus + Motorists	
ui_p15_554	Results: 14	Ergebnisse: 14
ui_p15_555	Ready Solution	Bereitstehende Lösung
ui_p15_556	TRANSCAL Training / Hello Rafael	TRANSCAL Schulung / Hallo Rafael
ui_p15_557	Test	Test
ui_p15_558	Test 2	Test 2
ui_p15_559	Transcal Test	Transcal Test
ui_p15_560	Test Transcal 2026-04-08	Test Transcal 08.04.2026
ui_p15_561	Test Transcal Days Useful	Test Transcal Arbeitstage
ui_p15_562	Transcal teste tempos Seguronca	Transcal Test Sicherheitszeiten
ui_p15_563	Transcal teste temposseguranca (copy)	Transcal Test Sicherheitszeiten (Kopie)
ui_p15_564	Training Line 1 2026 April	Schulung Linie 1 April 2026
ui_p15_566	Uteis days	Arbeitstage
ui_p15_567	test	Test
ui_p15_568	test 2	Test 2
ui_p15_569	teste Farm 2026-04-07	Test Farm 07.04.2026
ui_p15_570	teste Farm 2026-04-07 (V2)	Test Farm 07.04.2026 (V2)
ui_p15_572	Driver line change	Fahrer-Linienwechsel
ui_p15_573	Change of bus lines	Bus-Linienwechsel
ui_p15_578	Total hours	Gesamtstunden
ui_p15_579	Commercial km	Kommerzielle km
ui_p15_580	empty km	Leer-km
ui_p15_581	Working average	Arbeitsdurchschnitt
ui_p15_583	Number of buses	Anzahl der Busse
ui_p15_585	Number of invalid drivers	Anzahl ungültiger Fahrer
ui_p15_586	Process subscribed	Prozess abonniert
ui_p15_587	Engine Registration	Maschinenregistrierung
ui_p15_588	Status:	Status:
ui_p15_590	Solution time	Lösungszeit
ui_p15_591	content_copy	
ui_p15_592	download	
ui_p15_593	fullscreen	
ui_p15_594	We are working on the calculations! Wait a minute, we're on it!	Wir arbeiten an den Berechnungen! Einen Moment bitte, wir sind dran!
ui_p15_595	Executing processes	Prozesse werden ausgeführt
ui_p15_596	119h	119h
ui_p15_597	157 hours	157 Stunden
ui_p15_598	Calculation completed	Berechnung abgeschlossen
ui_p15_600	Ending process	Prozess beenden
ui_p15_601	Commercial KMs	Kommerzielle KMs
ui_p15_602	Empty KMs	Leer-KMs
ui_p15_603	Commercial percentage	Kommerzieller Prozentsatz
ui_p15_606	Time in circulation	Zeit im Umlauf
ui_p15_607	no_transfer	
ui_p15_608	search_hands_free	
ui_p15_609	285 hours	285 Stunden
ui_p15_610	329 hours	329 Stunden
ui_p15_611	No engine messages have been generated yet.	Es wurden noch keine Maschinennachrichten generiert.
ui_p16_615	Also publish on other Days (optional)	Auch an anderen Tagen veröffentlichen (optional)
ui_p16_618	date_range	
ui_p16_619	1 - 20 of 244	1 - 20 von 244
ui_p16_620	100, 200, 245, M45	
ui_p16_621	Demo	
ui_p16_622	Soul Demo 12/25	
ui_p16_623	GoalBus Innotrans 2024 / Hello Consultant	GoalBus Innotrans 2024 / Hallo Berater
ui_p16_624	JMi 100 sabs	
ui_p16_625	JMi 28082025	
ui_p16_626	JMi WD 030925 100	
ui_p16_627	JMi WD 030925 100 2	
ui_p16_628	MPG 9h20	
ui_p16_629	NC - Demo	
ui_p16_630	NC - Scheduling Saturday July 2025	
ui_p16_631	NC - Scheduling Sunday Nov 2025	
ui_p16_632	NC - Scheduling Sunday Nov 2025 (copy)	
ui_p16_633	NC - Scheduling Weekday July 2025	
ui_p16_635	Results: 244	Ergebnisse: 244
ui_p16_637	Scheduling 110625	Planung 110625
ui_p16_638	Scheduling 110625 3	Planung 110625 3
ui_p16_639	Scheduling Saturday July 2025	Planung Samstag Juli 2025
ui_p16_640	Scheduling Sunday July 2025	Planung Sonntag Juli 2025
ui_p16_641	Scheduling Sunday July 2025 Weekday	Planung Sonntag Juli 2025 Arbeitstag
ui_p16_642	Scheduling Weekday 2026	Planung Arbeitstag 2026
ui_p16_643	Scheduling Weekday July 2025	Planung Arbeitstag Juli 2025
ui_p16_644	Scheduling Weekday July 2025 (copy)	Planung Arbeitstag Juli 2025 (Kopie)
ui_p16_646	Test Demo Soul	
ui_p16_647	Weekday	Arbeitstag
ui_p17_648	Add publication period	Veröffentlichungszeitraum hinzufügen
ui_p17_651	1 - 20 of 245	1 - 20 von 245
ui_p17_652	Classic Calculus - Line 1 Week 1 2026 (copy)	Klassische Berechnung - Linie 1 Woche 1 2026 (Kopie)
ui_p17_653	Results: 245	Ergebnisse: 245
ui_p20_654	1 - 10 of 20	1 - 10 von 20
ui_p20_655	Last name	Nachname
ui_p20_656	Registered Drivers	Registrierte Fahrer
ui_p20_657	Property Settings	Eigenschaftseinstellungen
ui_p20_658	Automatic welcome email	Automatische Willkommens-E-Mail
ui_p20_659	Current Deposit	Aktuelles Depot
ui_p20_660	E-mail	E-Mail
ui_p20_661	Send welcome emails (0)	Willkommens-E-Mails senden (0)
ui_p20_663	User name	Benutzername
ui_p20_664	New driver	Neuer Fahrer
ui_p20_666	Results: 20	Ergebnisse: 20
ui_p20_667	email	
ui_p20_668	refresh	
ui_p20_669	Upload staff absences...	Personalabwesenheiten hochladen...
ui_p20_670	Upload staff...	Personal hochladen...
ui_p20_671	Here is a summary of the requirements to prepare the CSV file.	Hier ist eine Zusammenfassung der Anforderungen zur Vorbereitung der CSV-Datei.
ui_p20_672	Each employee should have at least one depot link property (DEPOT_LINK).	Jeder Mitarbeiter sollte mindestens eine Depot-Verknüpfungseigenschaft (DEPOT_LINK) haben.
ui_p20_674	The columns of the file are:	Die Spalten der Datei sind:
ui_p20_675	To register a new employee, simply include a row that completes the name, surname, email, username and external_code columns.	Um einen neuen Mitarbeiter zu registrieren, fügen Sie einfach eine Zeile hinzu, die die Spalten Name, Nachname, E-Mail, Benutzername und externer_code ausfüllt.
ui_p20_676	If you need the complete guide to this upload or an example, do not hesitate to request them.	Wenn Sie die vollständige Anleitung für diesen Upload oder ein Beispiel benötigen, zögern Sie nicht, diese anzufordern.
ui_p20_677	yam; surname; e-mail; username; external_code; property_name; property_value; property_start_date; property_end_date	Name; Nachname; E-Mail; Benutzername; externer_Code; Eigenschaftsname; Eigenschaftswert; Eigenschaftsstartdatum; Eigenschaftsenddatum
ui_p20_678	100,200,245,M45	
ui_p20_679	40 hours	40 Stunden
ui_p20_680	Adam Arden	
ui_p20_682	Add work pattern	Arbeitsmuster hinzufügen
ui_p20_683	Add multiple links	Mehrere Verknüpfungen hinzufügen
ui_p20_687	Displacement	Bewegung
ui_p20_688	admin details	Admin-Details
ui_p20_691	Pairing	Paarung
ui_p20_692	End date	Enddatum
ui_p20_694	No custom counters have been defined for the system.	Für das System wurden keine benutzerdefinierten Zähler definiert.
ui_p20_695	Work patterns	Arbeitsmuster
ui_p20_699	Type of vehicles	Fahrzeugtypen
ui_p20_700	Link Deposit	Depot verknüpfen
ui_p20_701	Link Workgroup	Arbeitsgruppe verknüpfen
ui_p20_703	West	Westen
ui_p20_704	West Depot	Westdepot
ui_p22_708	Caution: Each setting here affects how we validate and assign drivers. Review the data to make sure everything is in order!	Achtung: Jede Einstellung hier beeinflusst, wie wir Fahrer validieren und zuweisen. Überprüfen Sie die Daten, um sicherzustellen, dass alles in Ordnung ist!
ui_p22_709	Rest between days	Ruhezeit zwischen Tagen
ui_p22_710	Consecutive work days	Aufeinanderfolgende Arbeitstage
ui_p22_712	Evaluate in Daily Op.	In Tagesbetrieb auswerten
ui_p22_715	Line Enablement	Linienfreigabe
ui_p22_716	Max. 2	Max. 2
ui_p22_717	Max. 40	Max. 40
ui_p22_718	Max. 45	Max. 45
ui_p22_719	Max. 6	Max. 6
ui_p22_720	Min. 1	Min. 1
ui_p22_721	10:00	10:00
ui_p22_722	Min. 15	Min. 15
ui_p22_723	Min. 2	Min. 2
ui_p22_724	Min. 20	Min. 20
ui_p22_725	Rule Models	Regelmodelle
ui_p22_731	Monthly work time	Monatliche Arbeitszeit
ui_p22_732	Weekly working time	Wöchentliche Arbeitszeit
ui_p22_733	Turn of First Published Solution	Dienst der ersten veröffentlichten Lösung
ui_p22_735	Apply in Daily Op.	In Tagesbetrieb anwenden
ui_p22_736	Assignment rules 2026	Zuweisungsregeln 2026
ui_p22_739	Send	Senden
ui_p22_740	New Rule Model	Neues Regelmodell
ui_p25_743	1 - 20 of 221	1 - 20 von 221
ui_p25_744	Create new scenario	Neues Szenario erstellen
ui_p25_745	DEMO SITEUR	
ui_p25_746	DEMO SITEUR MODEL RULES 2027	
ui_p25_747	SUBUS DEMO	
ui_p25_749	Scenery	
ui_p25_750	Driver assignment scenarios	Fahrerzuweisungsszenarien
ui_p25_751	Vehicle allocation scenarios	Fahrzeugzuweisungsszenarien
ui_p25_752	FENIX DEMO	
ui_p25_754	LOGIC	
ui_p25_755	LOGICAL	
ui_p25_756	NC - LOGIC	
ui_p25_757	NC 1.0	
ui_p25_758	NC 1.1	
ui_p25_759	NC Demo Soul	
ui_p25_760	NC V1	
ui_p25_762	Results: 221	Ergebnisse: 221
ui_p25_763	Rostering 7/10 - 7/19	Dienstplanung 10.07. - 19.07.
ui_p25_764	Rostering 110625 2	Dienstplanung 110625 2
ui_p25_765	Rostering 6/30 - 7/9	Dienstplanung 30.06. - 09.07.
ui_p25_766	SUBUS	
ui_p25_767	TEPER DEMO	
ui_p25_768	Non-driving tasks	Nicht-fahrerische Aufgaben
ui_p25_770	person_check	
ui_p25_771	teper demo 2	
ui_p25_772	Jan 05, 2026 - Jan 11, 2026	05. Jan. 2026 - 11. Jan. 2026
ui_p25_774	Jan 5 to Jan 11, 2026	5. Jan bis 11. Jan 2026
ui_p25_788	Errors (0)	Fehler (0)
ui_p25_789	L1 Labor - Driver assignment	L1 Arbeit - Fahrerzuweisung
ui_p25_790	account_tree	
ui_p25_791	density_large	
ui_p25_792	density_small	
ui_p25_793	keyboard_double_arrow_left	
ui_p25_794	keyboard_double_arrow_right	
ui_p25_795	push_pin	
ui_p25_796	repeat	
ui_p25_797	troubleshooting	
ui_p26_798	Jan 5 to Jan 11, 2026	5. Jan bis 11. Jan 2026
ui_p26_799	Vehicle allocation scenarios	Fahrzeugzuweisungsszenarien
ui_p26_800	Operations Team	Betriebsteam
ui_p26_801	Errors (0)	Fehler (0)
ui_p26_803	GoalBus Innotrans 2024 / Hello Consultant	GoalBus Innotrans 2024 / Hallo Berater
